Energy_keV,Counts
0.1,660
1.5655105031753787,640
3.031021006350757,538
4.496531509526135,541
5.962042012701514,538
7.427552515876893,474
8.89306301905227,471
10.35857352222765,469
11.824084025403028,471
13.289594528578407,443
14.755105031753786,447
16.220615534929166,423
17.686126038104543,443
19.151636541279924,439
20.6171470444553,415
22.08265754763068,434
23.54816805080606,391
25.013678553981435,400
26.479189057156816,399
27.944699560332193,410
29.410210063507574,444
30.87572056668295,406
32.34123106985833,365
33.80674157303371,347
35.272252076209085,385
36.737762579384466,410
38.203273082559846,374
39.66878358573522,360
41.1342940889106,398
42.59980459208598,391
44.06531509526136,393
45.530825598436735,367
46.996336101612115,397
48.461846604787496,361
49.92735710796287,358
51.39286761113825,380
52.85837811431363,392
54.32388861748901,337
55.789399120664385,376
57.254909623839765,375
58.720420127015146,359
60.18593063019052,346
61.6514411333659,384
63.11695163654128,348
64.58246213971665,335
66.04797264289203,338
67.51348314606741,383
68.97899364924278,354
70.44450415241816,363
71.91001465559354,371
73.37552515876892,332
74.8410356619443,325
76.30654616511968,359
77.77205666829506,334
79.23756717147043,312
80.70307767464581,374
82.16858817782119,336
83.63409868099657,326
85.09960918417195,381
86.56511968734733,331
88.03063019052271,318
89.49614069369808,334
90.96165119687346,287
92.42716170004884,355
93.89267220322422,303
95.3581827063996,333
96.82369320957498,309
98.28920371275036,315
99.75471421592573,328
101.22022471910111,291
102.68573522227649,310
104.15124572545187,327
105.61675622862725,318
107.08226673180263,324
108.54777723497801,325
110.01328773815338,349
111.47879824132876,305
112.94430874450414,344
114.40981924767952,298
115.8753297508549,329
117.34084025403028,311
118.80635075720566,281
120.27186126038103,335
121.73737176355641,299
123.20288226673179,318
124.66839276990717,330
126.13390327308255,312
127.59941377625793,284
129.0649242794333,308
130.5304347826087,276
131.99594528578407,304
133.46145578895946,308
134.92696629213484,311
136.3924767953102,290
137.85798729848557,306
139.32349780166095,305
140.78900830483633,269
142.2545188080117,283
143.7200293111871,320
145.18553981436247,310
146.65105031753785,297
148.11656082071323,276
149.5820713238886,281
151.047581827064,299
152.51309233023937,319
153.97860283341475,286
155.44411333659014,279
156.9096238397655,309
158.37513434294087,269
159.84064484611625,320
161.30615534929163,290
162.771665852467,265
164.2371763556424,308
165.70268685881777,294
167.16819736199315,277
168.63370786516853,300
170.0992183683439,283
171.5647288715193,298
173.03023937469467,291
174.49574987787005,305
175.96126038104543,274
177.4267708842208,283
178.89228138739617,277
180.35779189057155,267
181.82330239374693,226
183.2888128969223,294
184.7543234000977,254
186.21983390327307,290
187.68534440644845,281
189.15085490962383,238
190.6163654127992,276
192.0818759159746,274
193.54738641914997,288
195.01289692232535,269
196.47840742550073,290
197.94391792867611,267
199.40942843185147,252
200.87493893502685,272
202.34044943820223,277
203.8059599413776,271
205.271470444553,265
206.73698094772837,261
208.20249145090375,228
209.66800195407913,287
211.1335124572545,265
212.5990229604299,265
214.06453346360527,248
215.53004396678065,260
216.99555446995603,270
