Energy_keV,Counts
0.1,2953
1.5655105031753787,1672
3.031021006350757,1430
4.496531509526135,1335
5.962042012701514,1289
7.427552515876893,1191
8.89306301905227,1202
10.35857352222765,1136
11.824084025403028,1117
13.289594528578407,1064
14.755105031753786,1094
16.220615534929166,1071
17.686126038104543,1029
19.151636541279924,1016
20.6171470444553,942
22.08265754763068,1003
23.54816805080606,1085
25.013678553981435,1021
26.479189057156816,942
27.944699560332193,950
29.410210063507574,938
30.87572056668295,952
32.34123106985833,946
33.80674157303371,919
35.272252076209085,923
36.737762579384466,915
38.203273082559846,926
39.66878358573522,893
41.1342940889106,913
42.59980459208598,877
44.06531509526136,932
45.530825598436735,851
46.996336101612115,902
48.461846604787496,923
49.92735710796287,878
51.39286761113825,873
52.85837811431363,926
54.32388861748901,916
55.789399120664385,855
57.254909623839765,870
58.720420127015146,870
60.18593063019052,822
61.6514411333659,903
63.11695163654128,899
64.58246213971665,842
66.04797264289203,903
67.51348314606741,869
68.97899364924278,873
70.44450415241816,836
71.91001465559354,887
73.37552515876892,866
74.8410356619443,852
76.30654616511968,840
77.77205666829506,934
79.23756717147043,931
80.70307767464581,861
82.16858817782119,892
83.63409868099657,925
85.09960918417195,889
86.56511968734733,838
88.03063019052271,866
89.49614069369808,836
90.96165119687346,853
92.42716170004884,823
93.89267220322422,869
95.3581827063996,811
96.82369320957498,859
98.28920371275036,888
99.75471421592573,774
101.22022471910111,781
102.68573522227649,826
104.15124572545187,797
105.61675622862725,812
107.08226673180263,816
108.54777723497801,874
110.01328773815338,770
111.47879824132876,810
112.94430874450414,781
114.40981924767952,852
115.8753297508549,757
117.34084025403028,820
118.80635075720566,755
120.27186126038103,792
121.73737176355641,795
123.20288226673179,738
124.66839276990717,823
126.13390327308255,778
127.59941377625793,763
129.0649242794333,750
130.5304347826087,757
131.99594528578407,756
133.46145578895946,738
134.92696629213484,726
136.3924767953102,745
137.85798729848557,704
139.32349780166095,761
140.78900830483633,777
142.2545188080117,702
143.7200293111871,709
145.18553981436247,699
146.65105031753785,692
148.11656082071323,750
149.5820713238886,717
151.047581827064,663
152.51309233023937,678
153.97860283341475,663
155.44411333659014,689
156.9096238397655,646
158.37513434294087,746
159.84064484611625,661
161.30615534929163,640
162.771665852467,682
164.2371763556424,672
165.70268685881777,690
167.16819736199315,615
168.63370786516853,679
170.0992183683439,637
171.5647288715193,630
173.03023937469467,656
174.49574987787005,669
175.96126038104543,679
177.4267708842208,693
178.89228138739617,674
180.35779189057155,622
181.82330239374693,649
183.2888128969223,619
184.7543234000977,648
186.21983390327307,676
187.68534440644845,639
189.15085490962383,638
190.6163654127992,654
192.0818759159746,644
193.54738641914997,677
195.01289692232535,653
196.47840742550073,629
197.94391792867611,645
199.40942843185147,619
200.87493893502685,636
202.34044943820223,635
203.8059599413776,666
205.271470444553,652
206.73698094772837,694
208.20249145090375,667
209.66800195407913,657
211.1335124572545,688
212.5990229604299,719
214.06453346360527,685
215.53004396678065,649
216.99555446995603,634
218.4610649731314,699
219.92657547630677,640
221.39208597948215,666
222.85759648265753,648
224.3231069858329,722
225.7886174890083,693
227.25412799218367,620
228.71963849535905,680
230.18514899853443,736
231.6506595017098,630
233.1161700048852,690
234.58168050806057,707
236.04719101123595,720
237.51270151441133,717
238.9782120175867,745
240.44372252076207,739
241.90923302393745,778
243.37474352711283,719
244.8402540302882,709
246.3057645334636,747
247.77127503663897,748
249.23678553981435,717
250.70229604298973,775
252.1678065461651,766
253.6333170493405,716
255.09882755251587,734
256.5643380556913,744
258.02984855886666,740
259.49535906204204,702
260.9608695652174,708
262.4263800683928,762
263.8918905715682,758
265.35740107474356,765
266.82291157791894,793
268.2884220810943,789
269.7539325842697,737
271.21944308744503,739
272.6849535906204,681
274.1504640937958,719
275.61597459697117,798
277.08148510014655,790
278.54699560332193,756
280.0125061064973,791
281.4780166096727,759
282.9435271128481,843
284.40903761602345,797
285.87454811919883,759
287.3400586223742,790
288.8055691255496,797
290.271079628725,755
291.73659013190036,780
293.20210063507574,815
294.6676111382511,808
296.1331216414265,767
297.5986321446019,764
299.06414264777726,812
300.52965315095264,733
301.995163654128,794
303.4606741573034,756
304.9261846604788,786
306.39169516365416,772
307.85720566682954,789
309.3227161700049,731
310.7882266731803,764
312.2537371763557,767
313.719247679531,762
315.1847581827064,762
316.65026868588177,741
318.11577918905715,729
319.58128969223253,805
321.0468001954079,791
322.5123106985833,752
323.9778212017587,741
325.44333170493405,804
326.90884220810943,734
328.3743527112848,743
329.8398632144602,740
331.3053737176356,760
332.77088422081096,742
334.23639472398634,708
335.7019052271617,715
337.1674157303371,784
338.6329262335125,706
340.09843673668786,721
341.56394723986324,723
343.0294577430386,730
344.494968246214,675
345.9604787493894,699
347.42598925256476,703
348.89149975574014,730
350.3570102589155,742
351.8225207620909,744
353.2880312652663,695
354.7535417684416,659
356.219052271617,663
357.68456277479237,678
359.15007327796775,657
360.61558378114313,667
362.0810942843185,667
363.5466047874939,653
365.01211529066927,671
366.47762579384465,692
367.94313629702003,654
369.4086468001954,693
370.8741573033708,646
372.3396678065462,619
373.80517830972155,651
375.27068881289694,626
376.7361993160723,656
378.2017098192477,630
379.6672203224231,635
381.13273082559846,646
382.59824132877384,590
384.0637518319492,643
385.5292623351246,596
386.9947728383,615
388.46028334147536,600
